Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary
32471,WPCC08018,FIREFLY CLASSIC 6 OZ. TIN SWEET OLIVE LEAF,700755545015,B60-A-028,303,303,MC-PW,CURRENT,2.92766129,887.081,PW
32476,WPCC08022,FIREFLY CLASSIC 6 OZ. TIN WILD IRIS,700755545053,B50-A-061,132,132,MC-PW,CURRENT,3.25810606,430.07,PW
32473,WPCC08023,FIREFLY CLASSIC 6 OZ. TIN WASABI MELON,700755545060,B70-A-027,91,91,MC-PW,CURRENT,2.88585526,262.613,PW
32467,WPCC08024,FIREFLY CLASSIC 6 OZ. TIN LEMON HONEY TEA,792834803482,B60-A-053,324,324,MC-PW,CURRENT,2.96880368,961.892,PW
32468,WPCC08025,FIREFLY CLASSIC 6 OZ. TIN LINEN ROSEWOOD,792834803833,B60-A-009,220,220,MC-PW,CURRENT,3.45778281,760.712,PW
32214,WPCC14001,FIREFLY CLASSIC 10 OZ. GLASS CANDLE AMBER OAK,700755545077,B50-A-050,207,207,MC-PW,CURRENT,5.0665522,1048.776,PW
32214,WPCC14001,FIREFLY CLASSIC 10 OZ. GLASS CANDLE AMBER OAK,700755545077,B70-A-005,72,72,MC-PW,CURRENT,5.0665522,364.792,PW
32226,WPCC14003,FIREFLY CLASSIC 10 OZ. GLASS CANDLE COCONUT LIME,700755545084,B80-A-029,552,552,MC-PW,CURRENT,4.87066667,2688.608,PW
32635,WPCC14003T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE COCONUT LIME TESTER,700755545855,B60-A-030,30,30,MC-PW,CURRENT,5.385,161.55,PW
32387,WPCC14004,FIREFLY CLASSIC 10 OZ. GLASS CANDLE GRAPEFRUIT MANGOSTEEN,700755545091,B50-A-079,4,4,MC-PW,CURRENT,5.03075758,20.123,PW
32387,WPCC14004,FIREFLY CLASSIC 10 OZ. GLASS CANDLE GRAPEFRUIT MANGOSTEEN,700755545091,B60-A-032,260,260,MC-PW,CURRENT,5.03075758,1307.997,PW
32636,WPCC14004T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE GRAPEFRUIT MANGOSTEEN TESTER,700755545862,B50-A-047,10,10,MC-PW,CURRENT,4.975,49.75,PW
32388,WPCC14012,FIREFLY CLASSIC 10 OZ. GLASS CANDLE PEPPERMENT EUCALYPTUS,700755545121,B60-A-029,176,176,MC-PW,CURRENT,4.29376404,755.702,PW
32637,WPCC14012T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE PEPPERMENT EUCALYPTUS TESTER,700755545893,B60-A-005,38,38,MC-PW,CURRENT,5.365,203.87,PW
32389,WPCC14017,FIREFLY CLASSIC 10 OZ. GLASS CANDLE ORANGE CLOVE,700755545138,B60-A-042,430,430,MC-PW,CURRENT,5.21770302,2243.612,PW
32638,WPCC14017T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE ORANGE CLOVE TESTER,700755545909,B60-A-022,18,18,MC-PW,CURRENT,5.665,101.97,PW
32390,WPCC14018,FIREFLY CLASSIC 10 OZ. GLASS CANDLE SWEET OLIVE LEAF,700755545145,B50-A-040,21,21,MC-PW,CURRENT,4.84163934,101.674,PW
32639,WPCC14018T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE SWEET OLIVE LEAF TESTER,700755545916,B50-A-046,47,47,MC-PW,CURRENT,5.31234043,249.68,PW
32391,WPCC14020,FIREFLY CLASSIC 10 OZ. GLASS CANDLE HAZELNUT COFF,700755545169,B60-A-007,231,231,MC-PW,CURRENT,4.83154506,1116.087,PW
32640,WPCC14020T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE HAZELNUT COFFEE TESTER,700755545930,B70-A-015,51,51,MC-PW,CURRENT,5.33185185,271.924,PW
32392,WPCC14021,FIREFLY CLASSIC 10 OZ. GLASS CANDLE TOMATO LEAF AND BASIL,700755545176,B50-A-081,48,48,MC-PW,DISCONTINUED 6.15.20,4.26875,204.90,PW
32642,WPCC14021T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE TOMATO LEAF AND BASIL TESTER,614253978759,B50-A-075,40,40,MC-PW,CURRENT,4.395,175.80,PW
32393,WPCC14022,FIREFLY CLASSIC 10 OZ. GLASS CANDLE WILD IRIS,700755545183,B60-A-015,100,100,MC-PW,CURRENT,5.1072,510.72,PW
32643,WPCC14022T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE WILD IRIS TESTER,614253978766,B50-A-069,48,48,MC-PW,DISCONTINUED 6.15.20,4.41083333,211.72,PW
32394,WPCC14023,FIREFLY CLASSIC 10 OZ. GLASS CANDLE WASABI MELON,700755545190,B60-A-055,55,55,MC-PW,DISCONTINUED 6.15.20,5.06872727,278.78,PW
32644,WPCC14023T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE WASABI MELON TESTER,614253978773,B60-A-052,49,49,MC-PW,CURRENT,4.92244898,241.20,PW
32645,WPCC14024T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE LEMON HONEY TEA TESTER,792834803529,B50-A-063,55,55,MC-PW,DISCONTINUED 6.15.20,3.82127273,210.17,PW
32396,WPCC14025,FIREFLY CLASSIC 10 OZ. GLASS CANDLE LINEN ROSEWOOD,792834803840,B60-A-050,40,40,MC-PW,CURRENT,5.301,212.04,PW
32646,WPCC14025T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE LINEN ROSEWOOD TESTER,792834803888,B50-A-049,47,47,MC-PW,CURRENT,5.6543956,265.757,PW
32646,WPCC14025T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE LINEN ROSEWOOD TESTER,792834803888,B60-A-025,38,38,MC-PW,CURRENT,5.6543956,214.867,PW
32646,WPCC14025T,FIREFLY CLASSIC 10 OZ. GLASS CANDLE LINEN ROSEWOOD TESTER,792834803888,B60-A-051,6,6,MC-PW,CURRENT,5.6543956,33.926,PW
32545,WPCCD0804,FIREFLY CLASSIC 7 OZ. REED DIFFUSER GRAPEFRUIT MANGOSTEEN,614253979572,B70-A-040,119,119,MC-PW,CURRENT,8.26869919,983.975,PW
32550,WPCCD0817,FIREFLY CLASSIC 7 OZ. REED DIFFUSER ORANGE CLOVE,614253979602,B60-A-051,40,40,MC-PW,CURRENT,8.339,333.56,PW
