,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
1145,22148,CARTONS : 50871,,A10-B-082,600.0,600.0,MC-PW,Current,0.55076881,330.461,PW,Inventory Item,No
10002,35182,PDFD07Z,647658023366,A10-B-084,114.0,114.0,MC-PW,WEB/AMAZON ,5.68758405,648.385,PW,Assembly/Bill of Materials,No
8422,35164,LL0804Z,647658023557,A10-B-086,152.0,152.0,MC-PW,WEB/AMAZON ,4.41787387,671.5169999999999,PW,Assembly/Bill of Materials,No
4776,30836,GLCD : 25814,,A10-B-088,1930.0,1930.0,MC-PW,CURRENT,1.31771374,2543.188,PW,Inventory Item,No
10814,27766,RJ814Z,647658014579,A10-B-090,53.0,53.0,MC-PW,WEB/AMAZON ,4.56921415,242.168,PW,Assembly/Bill of Materials,No
13868,34619,WPSC10004,647658027036,A10-B-092,924.0,924.0,MC-PW,FIREFLY FALL 2020,4.48957917,4148.371,PW,Assembly/Bill of Materials,No
9698,34347,NFG1202,647658025568,A10-B-094,240.0,240.0,MC-PW,CUSTOM ITEM MEIJER,4.19313578,1006.3530000000001,PW,Assembly/Bill of Materials,No
1748,14154,CERAMIC : 36152,,A10-B-096,436.0,436.0,MC-PW,Current,1.3110036,571.5980000000001,PW,Inventory Item,No
9699,34347,NFG1202,647658025568,A10-B-098,288.0,288.0,MC-PW,CUSTOM ITEM MEIJER,4.19313578,1207.623,PW,Assembly/Bill of Materials,No
5234,33659,IM0501Z,647658021027,A10-B-100,48.0,48.0,MC-PW,WEB/AMAZON ,4.21194194,202.173,PW,Assembly/Bill of Materials,No
3207,33426,FH0807Z,647658020822,A10-B-102,228.0,228.0,MC-PW,WEB/AMAZON ,4.05176331,923.802,PW,Assembly/Bill of Materials,No
1642,5270,CERAMIC : 36048,,A10-B-104,1002.0,1002.0,MC-PW,Current,1.1938918,1196.28,PW,Inventory Item,No
1220,25722,CARTONS : 50952,,A10-B-106,900.0,900.0,MC-PW,CURRENT,0.43249570000000004,389.246,PW,Inventory Item,No
1291,26293,CARTONS : 50976,,A10-B-108,1620.0,1620.0,MC-PW,CUSTOM TARGET C2 SPRING 2019,0.23105719,374.31300000000005,PW,Inventory Item,No
13742,37406,WPOC06002Z,647658033839,A10-B-110,156.0,156.0,MC-PW,FIREFLY WEB/AMAZON,4.1762406,651.494,PW,Assembly/Bill of Materials,No
4959,35287,GLCD : 25966,,A10-B-112,3456.0,3456.0,MC-PW,FIREFLY SPRING 2020,0.53342187,1843.506,PW,Inventory Item,No
4960,35287,GLCD : 25966,,A10-B-114,3456.0,3456.0,MC-PW,FIREFLY SPRING 2020,0.53342187,1843.506,PW,Inventory Item,No
4961,35287,GLCD : 25966,,A10-B-116,3456.0,3456.0,MC-PW,FIREFLY SPRING 2020,0.53342187,1843.506,PW,Inventory Item,No
5340,17485,JB75-2145,812442024878,A10-B-118,384.0,384.0,MC-INK,Discontinued 9/19,1.97,756.48,INK,Inventory Item,No
13737,37197,WPOC06002,647658033839,A10-B-120,543.0,543.0,MC-PW,FIREFLY SPRING 2021,3.8291134,2079.209,PW,Assembly/Bill of Materials,No
1816,15534,CERAMIC : 36187,,A10-B-128,1008.0,1008.0,MC-PW,DISCONTINUED 6/2020,0.77443798,780.633,PW,Inventory Item,No
9373,37553,NFD0811,647658034478,A10-B-130,480.0,480.0,MC-PW,CUSTOM ITEM MEIJER,3.25540972,1562.5970000000002,PW,Assembly/Bill of Materials,No
